,deltaI,deltaR,mstar,alpha
OLS_sp,-112.73065176090455,-11.645399977691294,-1.259874693450298,-11.61993688772877
OLS_pi,-0.2785903596827839,-0.5093430098664535,0.586317196184133,-0.034177944998982523
OLS_both,-2.1979122753891827,-2.432036210373121,0.8913575919008397,-0.011229524344673836
DT_sp,0.43262392875533584,0.48440276110086344,0.8536872042982263,0.774609307122161
DT_pi,0.5329611880239871,0.5384975647662961,0.9516178739824133,0.7326383117136774
DT_both,0.4409484208813055,0.5011353334516601,0.9454661068277592,0.8242715094494059
RF_sp,0.7192995373477612,0.7474550597594278,0.9651719131902831,0.9075083668511796
RF_pi,0.7328024310018644,0.7007567685445455,0.9710711932249789,0.8360262557284894
RF_both,0.7395492427781061,0.7515698457561389,0.9717681798759269,0.9126315163823545
IRF_sp,0.8255515907357637,0.8168638110330789,0.9839263665481918,0.9117441832577229
IRF_pi,0.9786249060477757,0.9493624684812886,0.9811631739098523,0.8390505262591765
IRF_both,0.9605649273568945,0.8965585227306041,0.9811276892858558,0.9194059718965188
AB_sp,0.8135998543678493,0.7916337916415299,0.9834779735503575,0.9140666282734509
AB_pi,0.9762798876037712,0.9464173336035046,0.9789329885997106,0.8154722365861338
AB_both,0.9556730529034932,0.8970782727861375,0.9828051729952694,0.9143638165790838
GB_sp,0.7169856714301817,0.6953669461749518,0.9747146603832352,0.8183200117929499
GB_pi,0.960609574780912,0.8842030738136986,0.9727084955207566,0.7506482248352048
GB_both,0.9360468455130717,0.8008854677185508,0.9698461038584513,0.8396336481033867
